president,party,election_year,state,state_po,vote_pct
Jimmy Carter,Democrat,1976,Oregon,OR,47.6
Jimmy Carter,Democrat,1976,Pennsylvania,PA,50.4
Jimmy Carter,Democrat,1976,Rhode Island,RI,55.4
Jimmy Carter,Democrat,1976,South Carolina,SC,56.2
Jimmy Carter,Democrat,1976,South Dakota,SD,48.9
Jimmy Carter,Democrat,1976,Tennessee,TN,55.9
Jimmy Carter,Democrat,1976,Texas,TX,51.1
Jimmy Carter,Democrat,1976,Utah,UT,33.6
Jimmy Carter,Democrat,1976,Vermont,VT,42.3
Jimmy Carter,Democrat,1976,Virginia,VA,48
Jimmy Carter,Democrat,1976,Washington,WA,46.1
Jimmy Carter,Democrat,1976,West Virginia,WV,58.1
Jimmy Carter,Democrat,1976,Wisconsin,WI,49.5
Jimmy Carter,Democrat,1976,Wyoming,WY,39.8
Ronald Reagan,Republican,1980,Alabama,AL,48.8
Ronald Reagan,Republican,1980,Alaska,AK,54.3
Ronald Reagan,Republican,1980,Arizona,AZ,60.6
Ronald Reagan,Republican,1980,Arkansas,AR,48.1
Ronald Reagan,Republican,1980,California,CA,52.7
Ronald Reagan,Republican,1980,Colorado,CO,55.1
Ronald Reagan,Republican,1980,Connecticut,CT,48.2
Ronald Reagan,Republican,1980,Delaware,DE,47.2
Ronald Reagan,Republican,1980,District of Columbia,DC,13.4
Ronald Reagan,Republican,1980,Florida,FL,55.5
Ronald Reagan,Republican,1980,Georgia,GA,41
Ronald Reagan,Republican,1980,Hawaii,HI,42.9
Ronald Reagan,Republican,1980,Idaho,ID,66.5
Ronald Reagan,Republican,1980,Illinois,IL,49.6
Ronald Reagan,Republican,1980,Indiana,IN,56
Ronald Reagan,Republican,1980,Iowa,IA,51.3
Ronald Reagan,Republican,1980,Kansas,KS,57.9
Ronald Reagan,Republican,1980,Kentucky,KY,49
Ronald Reagan,Republican,1980,Louisiana,LA,51.2
Ronald Reagan,Republican,1980,Maine,ME,45.6
Ronald Reagan,Republican,1980,Maryland,MD,44.2
Ronald Reagan,Republican,1980,Massachusetts,MA,41.9
Ronald Reagan,Republican,1980,Michigan,MI,49
Ronald Reagan,Republican,1980,Minnesota,MN,42.6
Ronald Reagan,Republican,1980,Mississippi,MS,49.5
Ronald Reagan,Republican,1980,Missouri,MO,51.2
Ronald Reagan,Republican,1980,Montana,MT,56.8
Ronald Reagan,Republican,1980,Nebraska,NE,65.6
Ronald Reagan,Republican,1980,Nevada,NV,63.6
Ronald Reagan,Republican,1980,New Hampshire,NH,57.7
Ronald Reagan,Republican,1980,New Jersey,NJ,52
Ronald Reagan,Republican,1980,New Mexico,NM,55
Ronald Reagan,Republican,1980,New York,NY,46.7
Ronald Reagan,Republican,1980,North Carolina,NC,49.3
Ronald Reagan,Republican,1980,North Dakota,ND,64.3
Ronald Reagan,Republican,1980,Ohio,OH,51.5
Ronald Reagan,Republican,1980,Oklahoma,OK,60.5
Ronald Reagan,Republican,1980,Oregon,OR,48.3
Ronald Reagan,Republican,1980,Pennsylvania,PA,49.6
Ronald Reagan,Republican,1980,Rhode Island,RI,37.2
Ronald Reagan,Republican,1980,South Carolina,SC,49.5
Ronald Reagan,Republican,1980,South Dakota,SD,60.5
Ronald Reagan,Republican,1980,Tennessee,TN,48.7
Ronald Reagan,Republican,1980,Texas,TX,55.3
Ronald Reagan,Republican,1980,Utah,UT,72.8
Ronald Reagan,Republican,1980,Vermont,VT,44.4
Ronald Reagan,Republican,1980,Virginia,VA,53
Ronald Reagan,Republican,1980,Washington,WA,49.7
Ronald Reagan,Republican,1980,West Virginia,WV,45.3
Ronald Reagan,Republican,1980,Wisconsin,WI,47.9
Ronald Reagan,Republican,1980,Wyoming,WY,62.6
George H.W. Bush,Republican,1988,Alabama,AL,59.2
George H.W. Bush,Republican,1988,Alaska,AK,59.6
George H.W. Bush,Republican,1988,Arizona,AZ,60
George H.W. Bush,Republican,1988,Arkansas,AR,56.4
George H.W. Bush,Republican,1988,California,CA,51.1
George H.W. Bush,Republican,1988,Colorado,CO,53.1
George H.W. Bush,Republican,1988,Connecticut,CT,52
George H.W. Bush,Republican,1988,Delaware,DE,55.9
George H.W. Bush,Republican,1988,District of Columbia,DC,14.3
George H.W. Bush,Republican,1988,Florida,FL,60.9
George H.W. Bush,Republican,1988,Georgia,GA,59.8
George H.W. Bush,Republican,1988,Hawaii,HI,44.8
George H.W. Bush,Republican,1988,Idaho,ID,62.1
George H.W. Bush,Republican,1988,Illinois,IL,50.7
George H.W. Bush,Republican,1988,Indiana,IN,59.8
George H.W. Bush,Republican,1988,Iowa,IA,44.5
George H.W. Bush,Republican,1988,Kansas,KS,55.8
George H.W. Bush,Republican,1988,Kentucky,KY,55.5
George H.W. Bush,Republican,1988,Louisiana,LA,54.3
George H.W. Bush,Republican,1988,Maine,ME,55.3
George H.W. Bush,Republican,1988,Maryland,MD,51.1
George H.W. Bush,Republican,1988,Massachusetts,MA,45.4
George H.W. Bush,Republican,1988,Michigan,MI,53.6
George H.W. Bush,Republican,1988,Minnesota,MN,45.9
George H.W. Bush,Republican,1988,Mississippi,MS,59.9
George H.W. Bush,Republican,1988,Missouri,MO,51.8
George H.W. Bush,Republican,1988,Montana,MT,52.1
George H.W. Bush,Republican,1988,Nebraska,NE,60.2
George H.W. Bush,Republican,1988,Nevada,NV,60
George H.W. Bush,Republican,1988,New Hampshire,NH,62.5
George H.W. Bush,Republican,1988,New Jersey,NJ,56.2
George H.W. Bush,Republican,1988,New Mexico,NM,51.9
George H.W. Bush,Republican,1988,New York,NY,47.5
George H.W. Bush,Republican,1988,North Carolina,NC,58
George H.W. Bush,Republican,1988,North Dakota,ND,56
George H.W. Bush,Republican,1988,Ohio,OH,55
George H.W. Bush,Republican,1988,Oklahoma,OK,57.9
George H.W. Bush,Republican,1988,Oregon,OR,46.6
George H.W. Bush,Republican,1988,Pennsylvania,PA,50.7
George H.W. Bush,Republican,1988,Rhode Island,RI,43.9
George H.W. Bush,Republican,1988,South Carolina,SC,61.5
George H.W. Bush,Republican,1988,South Dakota,SD,52.8
George H.W. Bush,Republican,1988,Tennessee,TN,57.9
George H.W. Bush,Republican,1988,Texas,TX,56
George H.W. Bush,Republican,1988,Utah,UT,66.2
George H.W. Bush,Republican,1988,Vermont,VT,51.1
George H.W. Bush,Republican,1988,Virginia,VA,59.7
George H.W. Bush,Republican,1988,Washington,WA,48.5
George H.W. Bush,Republican,1988,West Virginia,WV,47.5
George H.W. Bush,Republican,1988,Wisconsin,WI,47.8
George H.W. Bush,Republican,1988,Wyoming,WY,60.5
Bill Clinton,Democrat,1992,Alabama,AL,40.9
Bill Clinton,Democrat,1992,Alaska,AK,30.3
Bill Clinton,Democrat,1992,Arizona,AZ,36.5
Bill Clinton,Democrat,1992,Arkansas,AR,53.2
Bill Clinton,Democrat,1992,California,CA,46
Bill Clinton,Democrat,1992,Colorado,CO,40.1
Bill Clinton,Democrat,1992,Connecticut,CT,42.2
Bill Clinton,Democrat,1992,Delaware,DE,43.5
Bill Clinton,Democrat,1992,District of Columbia,DC,84.6
Bill Clinton,Democrat,1992,Florida,FL,39
Bill Clinton,Democrat,1992,Georgia,GA,43.5
Bill Clinton,Democrat,1992,Hawaii,HI,48.1
Bill Clinton,Democrat,1992,Idaho,ID,28.4
Bill Clinton,Democrat,1992,Illinois,IL,48.6
Bill Clinton,Democrat,1992,Indiana,IN,36.8
Bill Clinton,Democrat,1992,Iowa,IA,43.3
Bill Clinton,Democrat,1992,Kansas,KS,33.7
Bill Clinton,Democrat,1992,Kentucky,KY,44.6
Bill Clinton,Democrat,1992,Louisiana,LA,45.6
Bill Clinton,Democrat,1992,Maine,ME,38.8
Bill Clinton,Democrat,1992,Maryland,MD,49.8
Bill Clinton,Democrat,1992,Massachusetts,MA,47.5
Bill Clinton,Democrat,1992,Michigan,MI,43.8
Bill Clinton,Democrat,1992,Minnesota,MN,43.5
Bill Clinton,Democrat,1992,Mississippi,MS,40.8
Bill Clinton,Democrat,1992,Missouri,MO,44.1
Bill Clinton,Democrat,1992,Montana,MT,37.6
Bill Clinton,Democrat,1992,Nebraska,NE,29.4
Bill Clinton,Democrat,1992,Nevada,NV,37.4
Bill Clinton,Democrat,1992,New Hampshire,NH,38.9
Bill Clinton,Democrat,1992,New Jersey,NJ,43
Bill Clinton,Democrat,1992,New Mexico,NM,45.9
Bill Clinton,Democrat,1992,New York,NY,48.7
Bill Clinton,Democrat,1992,North Carolina,NC,42.7
Bill Clinton,Democrat,1992,North Dakota,ND,32.2
